Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
1753,US-2021-146843-CHO-MIL-31000,30-11-2024,29-05-2027,Standard Class,146843,United States,Avondale,Arizona,85323,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
1754,US-2021-146843-CHO-SCR-58000,30-11-2024,29-05-2027,Standard Class,146843,United States,Avondale,Arizona,85323,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
1755,US-2021-150798-CHO-NUT-13000,01-12-2024,26-05-2027,Second Class,150798,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6
3493,US-2022-152891-CHO-FUD-51000,25-10-2024,21-04-2028,Standard Class,152891,United States,San Francisco,California,94110,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
3494,US-2022-109862-CHO-MIL-31000,25-10-2024,21-04-2028,Standard Class,109862,United States,Newark,Delaware,19711,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
3495,US-2022-150714-CHO-FUD-51000,26-10-2024,23-04-2028,Standard Class,150714,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
8898,US-2024-129490-CHO-SCR-58000,26-09-2025,23-03-2030,Standard Class,129490,United States,Miramar,Florida,33023,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
8899,US-2024-106145-CHO-SCR-58000,26-09-2025,19-03-2030,Same Day,106145,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
8900,US-2024-156391-CHO-FUD-51000,26-09-2025,21-03-2030,First Class,156391,United States,Salem,Oregon,97301,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2
2453,US-2022-114839-CHO-NUT-13000,26-04-2024,21-10-2027,Standard Class,114839,United States,Houston,Texas,77036,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
2454,US-2022-134026-CHO-NUT-13000,26-04-2024,23-10-2027,Standard Class,134026,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
2455,US-2022-122266-CHO-SCR-58000,26-04-2024,21-10-2027,Standard Class,122266,United States,Daytona Beach,Florida,32114,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
357,US-2021-138940-CHO-NUT-13000,11-04-2024,07-10-2026,Second Class,138940,United States,Austin,Texas,78745,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6
358,US-2021-154599-CHO-MIL-31000,12-04-2024,08-10-2026,Standard Class,154599,United States,Redondo Beach,California,90278,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
359,US-2021-142979-CHO-NUT-13000,12-04-2024,09-10-2026,Standard Class,142979,United States,Lodi,California,95240,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
2279,US-2022-163279-CHO-FUD-51000,22-03-2024,16-09-2027,Standard Class,163279,United States,San Diego,California,92037,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
2280,US-2022-157812-CHO-TRI-54000,22-03-2024,16-09-2027,Standard Class,157812,United States,Houston,Texas,77041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
2281,US-2022-117884-CHO-MIL-31000,22-03-2024,12-09-2027,Same Day,117884,United States,Plantation,Florida,33317,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
1931,US-2021-138681-CHO-SCR-58000,20-12-2024,14-06-2027,First Class,138681,United States,Tucson,Arizona,85705,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
1932,US-2021-120852-CHO-NUT-13000,20-12-2024,17-06-2027,Standard Class,120852,United States,Grand Prairie,Texas,75051,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5
1933,CA-2021-126634-CHO-FUD-51000,20-12-2024,14-06-2027,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
4892,US-2023-156573-CHO-MIL-31000,29-05-2025,22-11-2028,Standard Class,156573,United States,Nashville,Tennessee,37211,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
4893,US-2023-168753-CHO-SCR-58000,29-05-2025,21-11-2028,Second Class,168753,United States,Montgomery,Alabama,36116,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
4894,US-2023-168753-CHO-NUT-13000,29-05-2025,21-11-2028,Second Class,168753,United States,Montgomery,Alabama,36116,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5
4194,US-2023-134474-CHO-SCR-58000,05-01-2025,29-06-2028,Second Class,134474,United States,Jacksonville,Florida,32216,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15,6.6
4195,US-2023-134474-CHO-SCR-58000,05-01-2025,29-06-2028,Second Class,134474,United States,Jacksonville,Florida,32216,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
4196,US-2023-158806-CHO-NUT-13000,07-01-2025,03-07-2028,Standard Class,158806,United States,Amarillo,Texas,79109,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
1958,US-2021-113166-CHO-FUD-51000,24-12-2024,18-06-2027,First Class,113166,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
1959,US-2021-138247-CHO-SCR-58000,24-12-2024,21-06-2027,Standard Class,138247,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
1960,US-2021-167738-CHO-MIL-31000,24-12-2024,21-06-2027,Standard Class,167738,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
384,US-2021-134572-CHO-FUD-51000,20-04-2024,13-10-2026,Second Class,134572,United States,Houston,Texas,77070,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
385,US-2021-134572-CHO-NUT-13000,20-04-2024,13-10-2026,Second Class,134572,United States,Houston,Texas,77070,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
386,US-2021-134572-CHO-SCR-58000,20-04-2024,13-10-2026,Second Class,134572,United States,Houston,Texas,77070,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
2306,US-2022-131534-CHO-TRI-54000,28-03-2024,23-09-2027,Standard Class,131534,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
2307,US-2022-153549-CHO-NUT-13000,29-03-2024,21-09-2027,Second Class,153549,United States,Jacksonville,Florida,32216,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5
2308,US-2022-103996-CHO-FUD-51000,29-03-2024,21-09-2027,Second Class,103996,United States,San Diego,California,92105,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
2135,US-2022-130491-CHO-SCR-58000,08-02-2024,04-08-2027,First Class,130491,United States,Garden City,Kansas,67846,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
2136,US-2022-114923-CHO-NUT-13000,08-02-2024,06-08-2027,Standard Class,114923,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
2137,US-2022-146038-CHO-SCR-58000,09-02-2024,09-08-2027,Standard Class,146038,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
6141,US-2023-143441-CHO-SCR-58000,05-11-2025,27-04-2029,Same Day,143441,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
6142,US-2023-157280-CHO-SCR-58000,05-11-2025,29-04-2029,First Class,157280,United States,Virginia Beach,Virginia,23464,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
6143,US-2023-144092-CHO-SCR-58000,05-11-2025,29-04-2029,Second Class,144092,United States,San Jose,California,95123,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
